字,音,反切,聲母,韻母,聲調,開合口,攝,等第,,,,,,,,,,,,,,,,,,,i
躡,niap7,尼輒,娘,葉,入,開,咸,三等,,,,,,,,,,,,,,,,,,,
玳,dai5,徒耐,定,咍,去,開,蟹,一等,,,,,,,,,,,,,,,,,,,
瑁,mau5,莫報,明,豪,去,開,效,一等,,,,,,,,,,,,,,,,,,,
紈,uang2,胡官,匣,桓,平,合,山,一等,,,,,,,,,,,,,,,,,,,
璫,dong1,都郎,端,唐,平,開,宕,一等,,,,,,,,,,,,,,,,,,,
飣,dian5,丁定,端,青,去,開,梗,四等,貯食,,,,,,,,,,,,,,,,,,
臟,zong5,才浪,從,唐,去,開,宕,一等,,,,,,,,,,,,,,,,,,,
瀛,ian2,以成,以,清,平,開,梗,三等,,,,,,,,,,,,,,,,,,,
霓,ngei2,五稽,疑,齊,平,開,蟹,四等,,,,,,,,,,,,,,,,,,,
剡,iem3,以冉,以,鹽,上,開,咸,三等,另有禪聲母,,,,,,,,,,,,,,,,,,
淥,lok7,力玉,來,燭,入,合,通,三等,清澈,,,,,,,,,,,,,,,,,,
屐,giak7,奇逆,群,陌,入,開,梗,三等,,,,,,,,,,,,,,,,,,,
暝,mian2,莫經,明,青,平,開,梗,四等,,,,,,,,,,,,,,,,,,,
巔,dien1,都年,端,先,平,開,山,四等,,,,,,,,,,,,,,,,,,,
澹,dam3,徒敢,定,談,上,開,咸,一等,另有平聲去聲,,,,,,,,,,,,,,,,,,
扉,fi1,甫微,非,微,平,合,止,三等,,,,,,,,,,,,,,,,,,,
訇,han1,呼宏,曉,耕,平,合,梗,二等,聲大,,,,,,,,,,,,,,,,,,
冥,mian2,莫經,明,青,平,開,梗,四等,,,,,,,,,,,,,,,,,,,
鸞,luang2,落官,來,桓,平,合,山,一等,類鳳凰鳥,,,,,,,,,,,,,,,,,,
嶠,gieu5,渠廟,群,宵,去,開,效,重钮三等,山道；或作6聲？,,,,,,,,,,,,,,,,,,
犢,douk7,徒谷,定,屋,入,合,通,一等,小牛,,,,,,,,,,,,,,,,,,
噲,khuai6,苦夬,溪,夬,去,合,蟹,二等,咽也,,,,,,,,,,,,,,,,,,
膾,guai6,古外,見,泰,去,合,蟹,一等,細切肉也,,,,,,,,,,,,,,,,,,
毗,bi2,房脂,並,脂,平,開,止,重钮四等,接連,,,,,,,,,,,,,,,,,,
郝,hok7,呵各,曉,鐸,入,開,宕,一等,,,,,,,,,,,,,,,,,,,
詣,ngei5,五計,疑,齊,去,開,蟹,四等,至；業藝水平,,,,,,,,,,,,,,,,,,
皋,gau1,古勞,見,豪,平,開,效,一等,水旁陸地；沼湖,,,,,,,,,,,,,,,,,,
劭,zieu5,寔照,禪,宵,去,開,效,三等,美好，高尚；自強,,,,,,,,,,,,,,,,,,
賀,a5,胡箇,匣,歌,去,開,果,一等,,,,,,,,,,,,,,,,,,,
纔,zai2,昨哉,從,咍,平,開,蟹,一等,,,,,,,,,,,,,,,,,,,
洽,ap7,侯夾,匣,洽,入,開,咸,二等,,,,,,,,,,,,,,,,,,,
玠,gai6,古拜,見,皆,去,開,蟹,二等,大圭,,,,,,,,,,,,,,,,,,
盎,ong6,烏浪,影,唐,去,開,宕,一等,另有上聲,,,,,,,,,,,,,,,,,,
圭,gei1,古攜,見,齊,平,合,蟹,四等,,,,,,,,,,,,,,,,,,,
衛,uei5,于歲,云,祭,去,合,蟹,三等,,,,,,,,,,,,,,,,,,,
范,vam3,防錽,奉,凡,上,合,咸,三等,,,,,,,,,,,,,,,,,,,
晏,ang5,烏澗,影,删,去,開,山,二等,,,,,,,,,,,,,,,,,,,
詰,khit7,去吉,溪,質,入,開,臻,重钮四等,問也,,,,,,,,,,,,,,,,,,
汾,vun2,符分,奉,文,平,合,臻,三等,,,,,,,,,,,,,,,,,,,
卞,bien6,皮變,並,仙,去,開,山,重钮三等,急躁,,,,,,,,,,,,,,,,,,
汴,bien5,皮變,並,仙,去,開,山,重钮三等,,,,,,,,,,,,,,,,,,,
鴝,geu1,古侯,見,侯,平,開,流,一等,,,,,,,,,,,,,,,,,,,
鵒,iok7,余蜀,以,燭,入,合,通,三等,,,,,,,,,,,,,,,,,,,
荀,sun2,相倫,心,諄,平,合,臻,三等,傳說之香草名,,,,,,,,,,,,,,,,,,
忳,dun2,徒渾,定,魂,平,合,臻,一等,懮郁煩悶,,,,,,,,,,,,,,,,,,
遽,gv6,其據,群,魚,去,合,遇,三等,5聲如何？,,,,,,,,,,,,,,,,,,
戮,louk7,力竹,來,屋,入,合,通,三等,,,,,,,,,,,,,,,,,,,
雍,iaong1,於容,影,鍾,平,合,通,三等,鍾東通用例,,,,,,,,,,,,,,,,,,
嶷,ngi2 ngeik7,語其,疑,之,平,開,止,三等,山名,,,,,,,,,,,,,,,,,,
嶷,ngeik7,魚力,疑,職,入,開,曾,三等,,,,,,,,,,,,,,,,,,,
阮,nguen3,虞遠,疑,元,上,合,山,三等,,,,,,,,,,,,,,,,,,,
琬,iuen4,於阮,影,元,上,合,山,三等,無棱圭,,,,,,,,,,,,,,,,,,
宓,mit7,美畢,明,質,入,開,臻,重钮三等,,,,,,,,,,,,,,,,,,,
軻,kha1,苦何,溪,歌,平,開,果,一等,接軸車也,,,,,,,,,,,,,,,,,,
彥,ngien6,魚變,疑,仙,去,開,山,重钮三等,才德之士,,,,,,,,,,,,,,,,,,
竦,saong4,息拱,心,鍾,上,合,通,三等,肅敬；直頸踮足而立,,,,,,,,,,,,,,,,,,
勖,hiok7,許玉,曉,燭,入,合,通,三等,勉勵,,,,,,,,,,,,,,,,,,
縑,giem1,古甜,見,添,平,開,咸,四等,細絹,,,,,,,,,,,,,,,,,,
廞,him1,許金,曉,侵,平,開,深,重钮三等,陳列等意,,,,,,,,,,,,,,,,,,
驎,lien2,力珍,來,真,平,開,臻,三等,駿馬祥獸,,,,,,,,,,,,,,,,,,
詡,hu4,況羽,曉,虞,上,合,遇,三等,大言也,,,,,,,,,,,,,,,,,,
輒,dziap7,陟葉,知,葉,入,開,咸,三等,,,,,,,,,,,,,,,,,,,
逌,iu1,,,,,,,,？,,,,,,,,,,,,,,,,,,
爇,ngiat7,如劣,日,薛,入,合,山,三等,燒,,,,,,,,,,,,,,,,,,
蔡,tshai6,倉大,清,泰,去,開,蟹,一等,,,,,,,,,,,,,,,,,,,
蓍,si1,式脂,書,脂,平,開,止,三等,蓍草,,,,,,,,,,,,,,,,,,
裔,iei5,餘制,以,祭,去,開,蟹,三等,,,,,,,,,,,,,,,,,,,
諶,zim2,氏任,禪,侵,平,開,深,三等,,,,,,,,,,,,,,,,,,,
殞,iun3,于敏,云,諄,上,合,臻,三等,原在軫韻,,,,,,,,,,,,,,,,,,
蹊,ei1,胡雞,匣,齊,平,開,蟹,四等,,,,,,,,,,,,,,,,,,,
龔,gaong1,九容,見,鍾,平,合,通,三等,,,,,,,,,,,,,,,,,,,
劾,ok7,胡得,匣,德,入,開,曾,一等,uok？,,,,,,,,,,,,,,,,,,
劾,uai6,胡槩,匣,咍,去,開,蟹,一等,,,,,,,,,,,,,,,,,,,
猷,iu2,以周,以,尤,平,開,流,三等,,,,,,,,,,,,,,,,,,,
翟,deik7 dzak7,徒歷,定,錫,入,開,梗,四等,,,,,,,,,,,,,,,,,,,
翟,dzak7,場伯,澄,陌,入,開,梗,二等,瑒,,,,,,,,,,,,,,,,,,
璜,ong2,胡光,匣,唐,平,合,宕,一等,,,,,,,,,,,,,,,,,,,
裡,li3,良士,來,之,上,開,止,三等,,,,,,,,,,,,,,,,,,,
韶,zieu2,市昭,禪,宵,平,開,效,三等,,,,,,,,,,,,,,,,,,,
敖,ngau2,五勞,疑,豪,平,開,效,一等,,,,,,,,,,,,,,,,,,,
詆,dei4,都禮,端,齊,上,開,蟹,四等,,,,,,,,,,,,,,,,,,,
尹,iun4,余準,以,諄,上,合,臻,三等,,,,,,,,,,,,,,,,,,,
慝,thok7,他德,透,德,入,開,曾,一等,,,,,,,,,,,,,,,,,,,
谷,gouk7,古禄,見,屋,入,合,通,一等,,,,,,,,,,,,,,,,,,,
札,dzat7,側八,莊,黠,入,開,山,二等,,,,,,,,,,,,,,,,,,,
愷,khai4,苦亥,溪,咍,上,開,蟹,一等,,,,,,,,,,,,,,,,,,,
逵,gui2,渠追,群,脂,平,合,止,重钮三等,,,,,,,,,,,,,,,,,,,
瓮,iaong6,烏貢,影,東,去,合,通,一等,,,,,,,,,,,,,,,,,,,
鮓,dza4,側下,莊,麻,上,開,假,二等,,,,,,,,,,,,,,,,,,,
輟,dziat7,陟劣,知,薛,入,合,山,三等,另有祭韻去聲,,,,,,,,,,,,,,,,,,
雋,zuen4,徂兖,從,仙,上,合,山,三等,,,,,,,,,,,,,,,,,,,
臮,gi5,其冀,群,脂,去,開,止,重钮三等,,,,,,,,,,,,,,,,,,,
歆,him1,許金,曉,侵,平,開,深,重钮三等,,,,,,,,,,,,,,,,,,,
忤,ngo5,五故,疑,模,去,合,遇,一等,,,,,,,,,,,,,,,,,,,
蹙,dzouk7,子六,精,屋,入,合,通,三等,,,,,,,,,,,,,,,,,,,
濬,sun6,私閏,心,諄,去,合,臻,三等,,,,,,,,,,,,,,,,,,,
頡,gat7 iat7,古黠,見,黠,入,開,山,二等,,,,,,,,,,,,,,,,,,,
頡,iat7,胡結,匣,屑,入,開,山,四等,,,,,,,,,,,,,,,,,,,
樗,tshv1,丑居,徹,魚,平,合,遇,三等,,,,,,,,,,,,,,,,,,,
笥,si6,相吏,心,之,去,開,止,三等,另有平聲,,,,,,,,,,,,,,,,,,
滕,dan2,徒登,定,登,平,開,曾,一等,,,,,,,,,,,,,,,,,,,
醮,dzieu6,子肖,精,宵,去,開,效,三等,,,,,,,,,,,,,,,,,,,
釵,tshai1,楚佳,初,佳,平,開,蟹,二等,,,,,,,,,,,,,,,,,,,
弘,an2,胡肱,匣,登,平,合,曾,一等,,,,,,,,,,,,,,,,,,,
炙,dzeik8 dza6,之石,章,昔,入,開,梗,三等,,,,,,,,,,,,,,,,,,,
炙,dza6,之夜,章,麻,去,開,假,三等,,,,,,,,,,,,,,,,,,,
埒,luat7,力輟,來,薛,入,合,山,三等,,,,,,,,,,,,,,,,,,,
簪,dzam1 dzim1,作含,精,覃,平,開,咸,一等,,,,,,,,,,,,,,,,,,,
簪,dzim1,側吟,莊,侵,平,開,深,三等,,,,,,,,,,,,,,,,,,,
佗,da2 tha2,徒河,定,歌,平,開,果,一等,,,,,,,,,,,,,,,,,,,
佗,tha2,託何,透,歌,平,開,果,一等,,,,,,,,,,,,,,,,,,,
邈,mok7,莫角,明,覺,入,開,江,二等,,,,,,,,,,,,,,,,,,,
籀,dziu5,直祐,澄,尤,去,開,流,三等,,,,,,,,,,,,,,,,,,,
篆,dzuen4,持兖,澄,仙,上,合,山,三等,,,,,,,,,,,,,,,,,,,
琮,zaong2,藏宗,從,冬,平,合,通,一等,,,,,,,,,,,,,,,,,,,
褰,khien1,去乾,溪,仙,平,開,山,重钮三等,,,,,,,,,,,,,,,,,,,
媛,iuen2 iuen6,雨元,云,元,平,合,山,三等,另有去聲,,,,,,,,,,,,,,,,,,
媛,iuen6,王眷,云,仙,去,合,山,三等,,,,,,,,,,,,,,,,,,,
輦,lien3,力展,來,仙,上,開,山,三等,,,,,,,,,,,,,,,,,,,
懮,iu1,於柳,影,尤,上,開,流,三等,,,,,,,,,,,,,,,,,,,
韋,ui2,雨非,云,微,平,合,止,三等,,,,,,,,,,,,,,,,,,,
籝,ian2,以成,以,清,平,開,梗,三等,,,,,,,,,,,,,,,,,,,
緝,tship7,七入,清,緝,入,開,深,三等,,,,,,,,,,,,,,,,,,,
餕,dzun5,子峻,精,諄,去,合,臻,三等,,,,,,,,,,,,,,,,,,,
壚,lo2,落胡,來,模,平,合,遇,一等,,,,,,,,,,,,,,,,,,,
叩,kheu4,苦後,溪,侯,上,開,流,一等,,,,,,,,,,,,,,,,,,,
壈,lam3,盧感,來,覃,上,開,咸,一等,,,,,,,,,,,,,,,,,,,
駟,si6,息利,心,脂,去,開,止,三等,,,,,,,,,,,,,,,,,,,
蹇,gien4,九輦,見,仙,上,開,山,重钮三等,,,,,,,,,,,,,,,,,,,
蹇,gien4,居偃,見,元,上,開,山,三等,,,,,,,,,,,,,,,,,,,
綬,ziu5,承呪,禪,尤,去,開,流,三等,另有上聲,,,,,,,,,,,,,,,,,,
驥,gi6,几利,見,脂,去,開,止,重钮三等,,,,,,,,,,,,,,,,,,,
昇,san1,識蒸,書,蒸,平,開,曾,三等,,,,,,,,,,,,,,,,,,,
閔,mien4,眉殞,明,真,上,開,臻,重钮三等,,,,,,,,,,,,,,,,,,,
伋,gip7,居立,見,緝,入,開,深,重钮三等,,,,,,,,,,,,,,,,,,,
縕,un5,於問,影,文,去,合,臻,三等,另有平聲上聲,,,,,,,,,,,,,,,,,,
邕,iaong1,於容,影,鍾,平,合,通,三等,,,,,,,,,,,,,,,,,,,
屣,si6 si4,所寄,生,支,去,開,止,三等,,,,,,,,,,,,,,,,,,,
屣,si4,所綺,生,支,上,開,止,三等,,,,,,,,,,,,,,,,,,,
笠,lip8,力入,來,緝,入,開,深,三等,,,,,,,,,,,,,,,,,,,
謫,dzak7,陟革,知,麥,入,開,梗,二等,,,,,,,,,,,,,,,,,,,
薊,gei5,古詣,見,齊,去,開,蟹,四等,,,,,,,,,,,,,,,,,,,
歷,leik7,郎擊,來,錫,入,開,梗,四等,,,,,,,,,,,,,,,,,,,
縉,dzen6,即刃,精,真,去,開,臻,三等,,,,,,,,,,,,,,,,,,,
酈,li2 leik7,呂支,來,支,平,開,止,三等,,,,,,,,,,,,,,,,,,,
酈,leik7,郎擊,來,錫,入,開,梗,四等,,,,,,,,,,,,,,,,,,,
璩,gv2,強魚,群,魚,平,合,遇,三等,,,,,,,,,,,,,,,,,,,
虞,ngu2,遇俱,疑,虞,平,合,遇,三等,,,,,,,,,,,,,,,,,,,
鉏,zv2,士魚,崇,魚,平,合,遇,三等,另有上聲,,,,,,,,,,,,,,,,,,
麑,ngei2,五稽,疑,齊,平,開,蟹,四等,,,,,,,,,,,,,,,,,,,
孚,fu2,芳無,敷,虞,平,合,遇,三等,,,,,,,,,,,,,,,,,,,
蜡,lap8,盧盍,來,盍,入,開,咸,一等,蜡字本與蠟字不同,,,,,,,,,,,,,,,,,,
褚,dzv4,丁吕,知,魚,上,合,遇,三等,,,,,,,,,,,,,,,,,,,
甄,dzen1 gien1,職鄰,章,真,平,開,臻,三等,原作側鄰切,,,,,,,,,,,,,,,,,,
甄,gien1,居延,見,仙,平,開,山,重钮四等,,,,,,,,,,,,,,,,,,,
楨,dzan1,陟盈,知,清,平,開,梗,三等,,,,,,,,,,,,,,,,,,,
嬪,bien2,符眞,並,真,平,開,臻,重钮四等,,,,,,,,,,,,,,,,,,,
摴,tshv1,丑居,徹,魚,平,合,遇,三等,,,,,,,,,,,,,,,,,,,
旃,dzien1,諸延,章,仙,平,開,山,三等,,,,,,,,,,,,,,,,,,,
欒,luang2,落官,來,桓,平,合,山,一等,,,,,,,,,,,,,,,,,,,
噀,sun6,蘇困,心,魂,去,合,臻,一等,龍龕手鏡,,,,,,,,,,,,,,,,,,
偃,ien4,於幰,影,元,上,開,山,三等,,,,,,,,,,,,,,,,,,,
卜,bouk7,博木,幫,屋,入,合,通,一等,,,,,,,,,,,,,,,,,,,
鬒,dzen3,章忍,章,真,上,開,臻,三等,,,,,,,,,,,,,,,,,,,
湎,mien4,彌兖,明,仙,上,開,山,重钮四等,,,,,,,,,,,,,,,,,,,
酲,dzan2,直貞,澄,清,平,開,梗,三等,,,,,,,,,,,,,,,,,,,
躄,beik7,必益,幫,昔,入,開,梗,三等,縉雲話言躄腳，跛足之意,,,,,,,,,,,,,,,,,,
汲,gip7,居立,見,緝,入,開,深,重钮三等,,,,,,,,,,,,,,,,,,,
槃,buang2,薄官,並,桓,平,合,山,一等,,,,,,,,,,,,,,,,,,,
涅,niat7,奴結,泥,屑,入,開,山,四等,,,,,,,,,,,,,,,,,,,
疵,zi1,疾移,從,支,平,開,止,三等,,,,,,,,,,,,,,,,,,,
駢,bien2,部田,並,先,平,開,山,四等,,,,,,,,,,,,,,,,,,,
藪,seu4,蘇後,心,侯,上,開,流,一等,,,,,,,,,,,,,,,,,,,
簦,dan1,都滕,端,登,平,開,曾,一等,,,,,,,,,,,,,,,,,,,
笈,gip7 giap7,其立,群,緝,入,開,深,重钮三等,,,,,,,,,,,,,,,,,,,
笈,giap7,其輒,群,葉,入,開,咸,三等,,,,,,,,,,,,,,,,,,,
斮,dzok7,側角,莊,覺,入,開,江,二等,,,,,,,,,,,,,,,,,,,
篋,khiap7,苦協,溪,帖,入,開,咸,四等,,,,,,,,,,,,,,,,,,,
繻,nju2 su2,人朱,日,虞,平,合,遇,三等,,,,,,,,,,,,,,,,,,,
繻,su2,相俞,心,虞,平,合,遇,三等,,,,,,,,,,,,,,,,,,,
槁,gau4,古老,見,豪,上,開,效,一等,,,,,,,,,,,,,,,,,,,
檻,kham4,胡黤,匣,銜,上,開,咸,二等,另有去聲，自擬音加kh聲母,,,,,,,,,,,,,,,,,,
氅,tshioong4,昌兩,昌,陽,上,開,宕,三等,,,,,,,,,,,,,,,,,,,
瑜,iju2,羊朱,以,虞,平,合,遇,三等,,,,,,,,,,,,,,,,,,,
寔,zeik7,常職,禪,職,入,開,曾,三等,,,,,,,,,,,,,,,,,,,
祀,zi3,詳里,邪,之,上,開,止,三等,,,,,,,,,,,,,,,,,,,
濛,maong2,莫紅,明,東,平,合,通,一等,另有上聲,,,,,,,,,,,,,,,,,,
醪,lau2,魯刀,來,豪,平,開,效,一等,,,,,,,,,,,,,,,,,,,
顥,au3,胡老,匣,豪,上,開,效,一等,,,,,,,,,,,,,,,,,,,
恂,sun2,相倫,心,諄,平,合,臻,三等,,,,,,,,,,,,,,,,,,,
剽,bieu1,符霄,並,宵,平,開,效,重钮四等,另有去聲,,,,,,,,,,,,,,,,,,
簞,dang1,都寒,端,寒,平,開,山,一等,,,,,,,,,,,,,,,,,,,
竺,douk8,丁木,端,屋,入,合,通,一等,,,,,,,,,,,,,,,,,,,
虔,gien2,渠焉,群,仙,平,開,山,重钮三等,,,,,,,,,,,,,,,,,,,
椹,dzim1,知林,知,侵,平,開,深,三等,,,,,,,,,,,,,,,,,,,
稔,njim3,如甚,日,侵,上,開,深,三等,,,,,,,,,,,,,,,,,,,
惔,dam3,徒敢,定,談,上,開,咸,一等,,,,,,,,,,,,,,,,,,,
惔,dam2,徒甘,定,談,平,開,咸,一等,,,,,,,,,,,,,,,,,,,
媧,gua1,古華,見,麻,平,合,假,二等,另有佳韻,,,,,,,,,,,,,,,,,,
珪,gei1,古攜,見,齊,平,合,蟹,四等,,,,,,,,,,,,,,,,,,,
庾,iju4,以主,以,虞,上,合,遇,三等,,,,,,,,,,,,,,,,,,,
幘,dzak7,側革,莊,麥,入,開,梗,二等,,,,,,,,,,,,,,,,,,,
坼,tshak7,丑格,徹,陌,入,開,梗,二等,,,,,,,,,,,,,,,,,,,
燮,siap7,蘇協,心,帖,入,開,咸,四等,,,,,,,,,,,,,,,,,,,
虢,gak7,古伯,見,陌,入,合,梗,二等,,,,,,,,,,,,,,,,,,,
噫,i1 ai6,於其,影,之,平,開,止,三等,,,,,,,,,,,,,,,,,,,
噫,ai6,烏界,影,皆,去,開,蟹,二等,,,,,,,,,,,,,,,,,,,
琰,iem4,以冉,以,鹽,上,開,咸,三等,,,,,,,,,,,,,,,,,,,
粲,tshang6,蒼案,清,寒,去,開,山,一等,,,,,,,,,,,,,,,,,,,
肱,gan1,古弘,見,登,平,合,曾,一等,,,,,,,,,,,,,,,,,,,
姜,gioong1,居良,見,陽,平,開,宕,三等,,,,,,,,,,,,,,,,,,,
鶹,liu2,力求,來,尤,平,開,流,三等,,,,,,,,,,,,,,,,,,,
叱,tshit7,昌栗,昌,質,入,開,臻,三等,,,,,,,,,,,,,,,,,,,
馭,ngv5,牛倨,疑,魚,去,合,遇,三等,,,,,,,,,,,,,,,,,,,
晁,dzieu2,直遙,澄,宵,平,開,效,三等,,,,,,,,,,,,,,,,,,,
禹,u3,王矩,云,虞,上,合,遇,三等,,,,,,,,,,,,,,,,,,,
幗,gak7 guai6,古獲,見,麥,入,合,梗,二等,,,,,,,,,,,,,,,,,,,
幗,guai6,古對,見,灰,去,合,蟹,一等,,,,,,,,,,,,,,,,,,,
醴,lei3,盧啓,來,齊,上,開,蟹,四等,,,,,,,,,,,,,,,,,,,
虬,giu2,渠幽,群,幽,平,開,流,三等,此字甚異，不能複製,,,,,,,,,,,,,,,,,,
斐,fi4 fi1,敷尾,敷,微,上,合,止,三等,,,,,,,,,,,,,,,,,,,
斐,fi1,甫微,非,微,平,合,止,三等,,,,,,,,,,,,,,,,,,,
黜,tshuit7,丑律,徹,術,入,合,臻,三等,,,,,,,,,,,,,,,,,,,
殯,bjen6,必刃,幫,真,去,開,臻,重钮四等,,,,,,,,,,,,,,,,,,,
郢,ian4,以整,以,清,上,開,梗,三等,,,,,,,,,,,,,,,,,,,
黯,am3,乙減,影,咸,上,開,咸,二等,,,,,,,,,,,,,,,,,,,
驩,huang1,呼官,曉,桓,平,合,山,一等,,,,,,,,,,,,,,,,,,,
擢,dzok7,直角,澄,覺,入,開,江,二等,,,,,,,,,,,,,,,,,,,
翊,ieik7,與職,以,職,入,開,曾,三等,,,,,,,,,,,,,,,,,,,
逖,theik7,他歷,透,逖,入,開,梗,四等,,,,,,,,,,,,,,,,,,,
薏,ieik7,於力,影,職,入,開,曾,三等,,,,,,,,,,,,,,,,,,,
苡,ii3,羊己,以,之,上,開,止,三等,,,,,,,,,,,,,,,,,,,
鯤,gun1,古渾,見,魂,平,合,臻,一等,,,,,,,,,,,,,,,,,,,
螬,zau2,昨勞,從,豪,平,開,效,一等,,,,,,,,,,,,,,,,,,,
瑨,dzen6,即刃,精,真,去,開,臻,三等,,,,,,,,,,,,,,,,,,,
譙,zieu2,昨焦,從,宵,平,開,效,三等,,,,,,,,,,,,,,,,,,,
橐,thok7,他各,透,鐸,入,開,宕,一等,,,,,,,,,,,,,,,,,,,
禰,nei3,奴禮,泥,齊,上,開,蟹,四等,,,,,,,,,,,,,,,,,,,
鶚,ngok7,五各,疑,鐸,入,開,宕,一等,,,,,,,,,,,,,,,,,,,
佔,dziem6,章豔,章,鹽,去,開,咸,三等,,,,,,,,,,,,,,,,,,,
捨,sia6,書冶,書,麻,上,開,假,三等,,,,,,,,,,,,,,,,,,,
諤,ngok7,五各,疑,鐸,入,開,宕,一等,,,,,,,,,,,,,,,,,,,
邾,dzu1,陟輸,知,虞,平,合,遇,三等,,,,,,,,,,,,,,,,,,,
淄,dzi1,側持,莊,之,平,開,止,三等,,,,,,,,,,,,,,,,,,,
澠,mien4 zan2 mjen4,彌兖,明,仙,上,開,山,重钮四等,,,,,,,,,,,,,,,,,,,
澠,zan2,食陵,船,蒸,平,開,曾,三等,,,,,,,,,,,,,,,,,,,
澠,mjen4,武盡,明,真,上,開,臻,重钮四等,,,,,,,,,,,,,,,,,,,
繒,zan1,疾陵,從,蒸,平,開,曾,三等,,,,,,,,,,,,,,,,,,,
黥,gian2,渠京,群,庚,平,開,梗,三等,,,,,,,,,,,,,,,,,,,
侃,khang4,空旱,溪,寒,上,開,山,一等,,,,,,,,,,,,,,,,,,,
袴,kho6,苦故,溪,模,去,合,遇,一等,,,,,,,,,,,,,,,,,,,
汜,zi3,詳里,邪,之,上,開,止,三等,,,,,,,,,,,,,,,,,,,
毓,iouk7,余六,以,屋,入,合,通,三等,,,,,,,,,,,,,,,,,,,
狷,guen5,古縣,見,先,去,合,山,四等,或作6聲,,,,,,,,,,,,,,,,,,
芟,sam1,所銜,生,銜,平,開,咸,二等,縉雲話有存，挑揀除雜之意,,,,,,,,,,,,,,,,,,
摭,dzeik7,之石,章,昔,入,開,梗,三等,,,,,,,,,,,,,,,,,,,
湍,thuang1,他端,透,桓,平,合,山,一等,,,,,,,,,,,,,,,,,,,
遶,njieu3,而沼,日,宵,上,開,效,三等,,,,,,,,,,,,,,,,,,,
靄,ai5 at7,於蓋,影,泰,去,開,蟹,一等,,,,,,,,,,,,,,,,,,,
靄,at7,烏葛,影,曷,入,開,山,一等,,,,,,,,,,,,,,,,,,,
樵,zieu2,昨焦,從,宵,平,開,效,三等,,,,,,,,,,,,,,,,,,,
嶂,dzioong6,之亮,章,陽,去,開,宕,三等,,,,,,,,,,,,,,,,,,,
禪,zien2,市連,禪,仙,平,開,山,三等,,,,,,,,,,,,,,,,,,,
禪,zien5,時戰,禪,仙,去,開,山,三等,,,,,,,,,,,,,,,,,,,
悵,tshioong6,丑亮,徹,陽,去,開,宕,三等,,,,,,,,,,,,,,,,,,,
縹,phieu4,敷沼,滂,宵,上,開,效,重钮四等,,,,,,,,,,,,,,,,,,,
緲,mieu3,米擾,明,宵,上,開,效,重钮四等,,,,,,,,,,,,,,,,,,,
罘,viu2,縛谋,奉,尤,平,開,流,三等,,,,,,,,,,,,,,,,,,,
絳,gong6,古巷,見,江,去,開,江,二等,,,,,,,,,,,,,,,,,,,
雎,tshv1,七余,清,魚,平,合,遇,三等,,,,,,,,,,,,,,,,,,,
逑,giu2,巨鳩,群,尤,平,開,流,三等,,,,,,,,,,,,,,,,,,,
荇,an3,何梗,匣,庚,上,開,梗,二等,,,,,,,,,,,,,,,,,,,
寤,ngo5,五故,疑,模,去,合,遇,一等,,,,,,,,,,,,,,,,,,,
寐,mi5,彌二,明,脂,去,開,止,重钮四等,,,,,,,,,,,,,,,,,,,
哉,dzai1,祖才,精,咍,平,開,蟹,一等,,,,,,,,,,,,,,,,,,,
輾,dzien3,知演,知,仙,上,開,山,三等,,,,,,,,,,,,,,,,,,,
芼,mau2 mau5,莫袍,明,豪,平,開,效,一等,,,,,,,,,,,,,,,,,,,
芼,mau5,莫報,明,豪,去,開,效,一等,,,,,,,,,,,,,,,,,,,
锺,dzaong1,職容,章,鍾,平,合,通,三等,,,,,,,,,,,,,,,,,,,
覃,dam2,徒含,定,覃,平,開,咸,一等,,,,,,,,,,,,,,,,,,,
萋,tshei1,七稽,清,齊,平,開,蟹,四等,,,,,,,,,,,,,,,,,,,
喈,gai1,古諧,見,皆,平,開,蟹,二等,,,,,,,,,,,,,,,,,,,
刈,nguai5,魚肺,疑,廢,去,開,蟹,三等,縉雲話nga5,,,,,,,,,,,,,,,,,,
濩,o5 ok7,胡誤,匣,模,去,合,遇,一等,,,,,,,,,,,,,,,,,,,
濩,ok7,胡郭,匣,鐸,入,合,宕,一等,,,,,,,,,,,,,,,,,,,
絺,tshi1,丑飢,徹,脂,平,開,止,三等,,,,,,,,,,,,,,,,,,,
綌,khak7,綺戟,溪,陌,入,開,梗,三等,,,,,,,,,,,,,,,,,,,
斁,ieik7 do5,羊益,以,昔,入,開,梗,三等,,,,,,,,,,,,,,,,,,,
斁,do5,當故,端,模,去,合,遇,一等,,,,,,,,,,,,,,,,,,,
污,uo1 uo6,哀都,影,模,平,合,遇,一等,,,,,,,,,,,,,,,,,,,
污,uo6,烏路,影,模,去,合,遇,一等,,,,,,,,,,,,,,,,,,,
澣,uang4,胡管,匣,桓,上,合,山,一等,,,,,,,,,,,,,,,,,,,
寘,dzi6,支義,章,支,去,開,止,三等,,,,,,,,,,,,,,,,,,,
嵬,nguai2,五灰,疑,灰,平,合,蟹,一等,另有上聲,,,,,,,,,,,,,,,,,,
虺,huai1 hui4,呼恢,曉,灰,平,合,蟹,一等,,,,,,,,,,,,,,,,,,,
虺,hui4,許偉,曉,微,上,合,止,三等,,,,,,,,,,,,,,,,,,,
虺,hai1,呼懷,曉,皆,平,合,蟹,二等,,,,,,,,,,,,,,,,,,,
