字,音,反切,聲母,韻母,聲調,開合口,攝,等第,,,,,,,,,,,,,,,,,,,i
少,sieu6,失照,書,宵,去,開,效,三等,,,,,,,,,,,,,,,,,,,
日,njit7,人質,日,質,入,開,臻,三等,,,,,,,,,,,,,,,,,,,
中,dzaong1 dzaong6,陟弓,知,東,平,合,通,三等,,,,,,,,,,,,,,,,,,,
中,dzaong6,陟仲,知,東,去,合,通,三等,,,,,,,,,,,,,,,,,,,
岡,gong1,古郎,見,唐,平,開,宕,一等,,,,,,,,,,,,,,,,,,,
貝,bai6,博蓋,幫,泰,去,開,蟹,一等,,,,,,,,,,,,,,,,,,,
內,nuai5,奴對,泥,灰,去,合,蟹,一等,,,,,,,,,,,,,,,,,,,
水,sui4,式軌,書,脂,上,合,止,三等,,,,,,,,,,,,,,,,,,,
見,gien6,古電,見,先,去,開,山,四等,,,,,,,,,,,,,,,,,,,
午,ngo3,疑古,疑,模,上,合,遇,一等,,,,,,,,,,,,,,,,,,,
牛,ngiu2,語求,疑,尤,平,開,流,三等,,,,,,,,,,,,,,,,,,,
手,siu4,書九,書,尤,上,開,流,三等,,,,,,,,,,,,,,,,,,,
毛,mau2,莫報 ,明,豪,平,開,效,一等,,,,,,,,,,,,,,,,,,,
氣,khi6,去既,溪,微,去,開,止,三等,,,,,,,,,,,,,,,,,,,
升,san1,識蒸,書,蒸,平,開,曾,三等,,,,,,,,,,,,,,,,,,,
長,dzioong2 dzioong4,直良,澄,陽,平,開,宕,三等,,,,,,,,,,,,,,,,,,,
長,dzioong4,知丈,知,陽,上,開,宕,三等,,,,,,,,,,,,,,,,,,,
仁,njen2,如鄰,日,真,平,開,臻,三等,,,,,,,,,,,,,,,,,,,
什,zeik7,是執,禪,緝,入,開,深,三等,,,,,,,,,,,,,,,,,,,
片,phien6,普麵,滂,先,去,開,山,四等,,,,,,,,,,,,,,,,,,,
僕,bouk7,蒲木,並,屋,入,合,通,一等,,,,,,,,,,,,,,,,,,,
化,hua6,呼霸,曉,麻,去,合,假,二等,,,,,,,,,,,,,,,,,,,
