#现代汉语语料库词语频率表;;;;
#语料规模:2000万字;;;;
#只列入出现次数大于50次的词;;;;
#下载自www.cncorpus.org语料库在线网站;;;;
;;;;
;;;;
id;词语;出现次数;频率（%）;累积频率（%）
1826;一旦;664;0.0069;68.7055
1827;一百;664;0.0069;68.7124
1828;主席;664;0.0069;68.7193
1829;势;664;0.0069;68.6986
1830;高级;663;0.0069;68.74
1831;肉;663;0.0069;68.7331
1832;陈;663;0.0069;68.7262
1833;强度;662;0.0069;68.7469
1834;久;662;0.0069;68.7538
1835;具备;662;0.0069;68.7607
1836;宣布;662;0.0069;68.7676
1837;观测;661;0.0069;68.7745
1838;脱离;661;0.0069;68.7814
1839;担任;661;0.0069;68.7883
1840;明;660;0.0069;68.7952
1841;遍;659;0.0069;68.8297
1842;假;659;0.0069;68.8228
1843;电;659;0.0069;68.8021
1844;基本上;659;0.0069;68.8159
1845;吸引;659;0.0069;68.8366
1846;机制;659;0.0069;68.809
1847;爱情;658;0.0069;68.8435
1848;发明;658;0.0069;68.8504
1849;效率;657;0.0069;68.8573
1850;侵略;656;0.0069;68.8642
1851;空;656;0.0069;68.8711
1852;知;656;0.0069;68.878
1853;心中;656;0.0069;68.8849
1854;类似;656;0.0069;68.8918
1855;不必;655;0.0069;68.8987
1856;辆;655;0.0069;68.9056
1857;诸;654;0.0068;68.9124
1858;打击;654;0.0068;68.926
1859;念;654;0.0068;68.9192
1860;已知;653;0.0068;68.9328
1861;说道;653;0.0068;68.9396
1862;圈;652;0.0068;68.9464
1863;鼓励;652;0.0068;68.9532
1864;电路;651;0.0068;68.96
1865;分离;650;0.0068;68.9668
1866;平;650;0.0068;68.9736
1867;人民群众;650;0.0068;68.9804
1868;相似;650;0.0068;68.9872
1869;人工;650;0.0068;68.994
1870;合同;649;0.0068;69.0144
1871;划分;649;0.0068;69.0008
1872;摸;649;0.0068;69.0076
1873;只见;649;0.0068;69.0212
1874;母;648;0.0068;69.028
1875;有机;648;0.0068;69.0348
1876;雨;646;0.0068;69.0416
1877;至今;646;0.0068;69.0484
1878;赵;645;0.0067;69.0551
1879;必;645;0.0067;69.0618
1880;文;644;0.0067;69.0685
1881;皆;644;0.0067;69.0752
1882;棵;643;0.0067;69.0819
1883;相等;643;0.0067;69.0886
1884;有利;642;0.0067;69.1154
1885;女子;642;0.0067;69.1087
1886;多次;642;0.0067;69.102
1887;几十;642;0.0067;69.0953
1888;吹;641;0.0067;69.1422
1889;师;641;0.0067;69.1221
1890;冲;641;0.0067;69.1288
1891;古;641;0.0067;69.1355
1892;主动;640;0.0067;69.1489
1893;素质;640;0.0067;69.1556
1894;弱;639;0.0067;69.1623
1895;展开;639;0.0067;69.169
1896;十九;638;0.0067;69.1757
1897;至少;638;0.0067;69.1824
1898;支配;638;0.0067;69.1891
1899;厚;638;0.0067;69.1958
1900;食;637;0.0067;69.2025
1901;产物;637;0.0067;69.2092
1902;社;636;0.0067;69.236
1903;公里;636;0.0067;69.2159
1904;周期;636;0.0067;69.2226
1905;分解;636;0.0067;69.2293
1906;石头;635;0.0066;69.2492
1907;晶体;635;0.0066;69.2558
1908;秩序;635;0.0066;69.2426
1909;交流;634;0.0066;69.2756
1910;移动;634;0.0066;69.2822
1911;经济效益;634;0.0066;69.269
1912;由此;634;0.0066;69.2624
1913;厂长;633;0.0066;69.2954
1914;贵族;633;0.0066;69.2888
1915;早就;632;0.0066;69.3218
1916;氏;632;0.0066;69.3152
1917;若干;632;0.0066;69.3086
1918;理由;632;0.0066;69.302
1919;局面;631;0.0066;69.3284
1920;摇;630;0.0066;69.335
1921;修;630;0.0066;69.3416
1922;英;630;0.0066;69.3482
1923;指示;630;0.0066;69.3548
1924;言语;629;0.0066;69.3614
1925;过渡;629;0.0066;69.368
1926;粒;629;0.0066;69.3746
1927;头发;629;0.0066;69.3812
1928;骂;628;0.0066;69.4076
1929;不愿;628;0.0066;69.3878
1930;季节;628;0.0066;69.401
1931;主题;628;0.0066;69.4142
1932;上帝;628;0.0066;69.3944
1933;走向;627;0.0066;69.4208
1934;工人阶级;627;0.0066;69.4274
1935;武装;627;0.0066;69.434
1936;稍;626;0.0066;69.4406
1937;方便;626;0.0066;69.4472
1938;答应;626;0.0066;69.4538
1939;来源;625;0.0065;69.4603
1940;虫;624;0.0065;69.4733
1941;优势;624;0.0065;69.4798
1942;各项;624;0.0065;69.4863
1943;熟悉;624;0.0065;69.4668
1944;多年;623;0.0065;69.4993
1945;后者;623;0.0065;69.4928
1946;天津;622;0.0065;69.5058
1947;静;622;0.0065;69.5123
1948;当作;622;0.0065;69.5188
1949;遭到;622;0.0065;69.5253
1950;针;622;0.0065;69.5318
1951;集团;621;0.0065;69.5383
1952;当年;621;0.0065;69.5513
1953;紧紧;621;0.0065;69.5578
1954;关;621;0.0065;69.5448
1955;娘;620;0.0065;69.5643
1956;思考;620;0.0065;69.5708
1957;城;620;0.0065;69.5773
1958;男女;619;0.0065;69.6098
1959;门口;619;0.0065;69.6163
1960;指标;619;0.0065;69.6033
1961;今;619;0.0065;69.5838
1962;中国共产党;619;0.0065;69.5968
1963;规则;619;0.0065;69.5903
1964;文明;618;0.0065;69.6228
1965;暂时;618;0.0065;69.6293
1966;北方;618;0.0065;69.6358
1967;双手;617;0.0065;69.6423
1968;十年;617;0.0065;69.6488
1969;敢;615;0.0064;69.6616
1970;轨道;615;0.0064;69.668
1971;举;615;0.0064;69.6552
1972;卫生;613;0.0064;69.6808
1973;传来;613;0.0064;69.6744
1974;毕业;612;0.0064;69.6872
1975;不肯;611;0.0064;69.6936
1976;做好;611;0.0064;69.7
1977;向前;611;0.0064;69.7064
1978;更是;611;0.0064;69.7128
1979;赶;611;0.0064;69.7192
1980;讲话;610;0.0064;69.7256
1981;并非;610;0.0064;69.732
1982;最初;610;0.0064;69.7384
1983;宽;610;0.0064;69.7448
1984;广州;609;0.0064;69.7704
1985;油;609;0.0064;69.7512
1986;领;609;0.0064;69.764
1987;加入;609;0.0064;69.7768
1988;通;609;0.0064;69.7576
1989;善于;608;0.0064;69.7832
1990;歌;608;0.0064;69.7896
1991;怎么样;608;0.0064;69.796
1992;含量;608;0.0064;69.8024
1993;估计;607;0.0064;69.8088
1994;尚;607;0.0064;69.8152
1995;可以说;606;0.0063;69.8215
1996;初期;606;0.0063;69.8278
1997;啥;606;0.0063;69.8341
1998;不如;606;0.0063;69.8404
1999;大力;605;0.0063;69.853
2000;劳动人民;605;0.0063;69.8467
2001;对待;604;0.0063;69.8656
2002;铁路;604;0.0063;69.8593
2003;局;602;0.0063;69.8719
2004;够;602;0.0063;69.8782
2005;需求;601;0.0063;69.8845
2006;春;601;0.0063;69.8908
2007;素;600;0.0063;69.8971
2008;灯;600;0.0063;69.9034
2009;正如;600;0.0063;69.9097
2010;组合;599;0.0063;69.916
2011;液体;598;0.0063;69.9223
2012;批准;598;0.0063;69.9286
2013;近代;597;0.0062;69.9348
2014;差不多;596;0.0062;69.941
2015;微笑;596;0.0062;69.9472
2016;负;595;0.0062;69.972
2017;紧;595;0.0062;69.9534
2018;权;595;0.0062;69.9596
2019;出版;595;0.0062;69.9658
2020;爹;594;0.0062;69.9782
2021;房间;593;0.0062;69.9844
2022;不错;593;0.0062;69.9906
2023;爬;593;0.0062;69.9968
2024;特性;593;0.0062;70.003
2025;强大;593;0.0062;70.0092
2026;员;592;0.0062;70.0154
2027;果然;591;0.0062;70.0402
2028;区域;591;0.0062;70.0216
2029;厘米;591;0.0062;70.0278
2030;交给;591;0.0062;70.034
2031;起义;590;0.0062;70.0464
2032;菜;590;0.0062;70.0526
2033;职业;590;0.0062;70.0588
2034;这时候;589;0.0062;70.065
2035;合成;588;0.0062;70.0712
2036;大型;588;0.0062;70.0774
2037;十八;588;0.0062;70.0836
2038;男子;588;0.0062;70.0898
2039;符号;587;0.0061;70.0959
2040;偏;587;0.0061;70.102
2041;促使;586;0.0061;70.1142
2042;屋里;586;0.0061;70.1081
2043;生产关系;585;0.0061;70.1203
2044;方案;585;0.0061;70.1264
2045;忘记;584;0.0061;70.1325
2046;知识分子;582;0.0061;70.1386
2047;记录;582;0.0061;70.1447
2048;顺利;582;0.0061;70.1508
2049;不变;581;0.0061;70.1569
2050;那末;581;0.0061;70.163
2051;振动;581;0.0061;70.1691
2052;杯;581;0.0061;70.1752
2053;两者;581;0.0061;70.1813
2054;印象;581;0.0061;70.1874
2055;决策;580;0.0061;70.2301
2056;事实上;580;0.0061;70.224
2057;脑袋;580;0.0061;70.2179
2058;秘密;580;0.0061;70.2362
2059;觉;580;0.0061;70.2057
2060;牺牲;580;0.0061;70.1935
2061;例子;580;0.0061;70.2118
2062;白色;580;0.0061;70.1996
2063;藏;579;0.0061;70.2423
2064;功;579;0.0061;70.2484
2065;行业;579;0.0061;70.2545
2066;路上;579;0.0061;70.2606
2067;反而;578;0.006;70.2666
2068;奶奶;578;0.006;70.2726
2069;垂直;577;0.006;70.2966
2070;以便;577;0.006;70.2906
2071;核;577;0.006;70.2786
2072;流通;577;0.006;70.2846
2073;散;577;0.006;70.3026
2074;购买;576;0.006;70.3386
2075;分裂;576;0.006;70.3326
2076;广;576;0.006;70.3266
2077;器官;576;0.006;70.3206
2078;前后;576;0.006;70.3086
2079;氧气;576;0.006;70.3146
2080;学会;575;0.006;70.3566
2081;资本;575;0.006;70.3446
2082;监督;575;0.006;70.3506
2083;干什么;574;0.006;70.3626
2084;沿着;574;0.006;70.3686
2085;兼;573;0.006;70.3806
2086;走出;573;0.006;70.3746
2087;皮肤;572;0.006;70.3926
2088;造;572;0.006;70.3866
2089;室;570;0.006;70.3986
2090;变为;570;0.006;70.4046
2091;一半;569;0.006;70.4106
2092;南京;569;0.006;70.4166
2093;价;569;0.006;70.4226
2094;目光;569;0.006;70.4286
2095;薄;569;0.006;70.4346
2096;自动;568;0.0059;70.4405
2097;初步;568;0.0059;70.4464
2098;远远;567;0.0059;70.4523
2099;纷纷;567;0.0059;70.4582
2100;科;567;0.0059;70.4641
2101;工作者;566;0.0059;70.47
2102;天空;566;0.0059;70.4759
2103;特定;566;0.0059;70.4818
2104;顿;565;0.0059;70.4877
2105;台湾;565;0.0059;70.4936
2106;公社;565;0.0059;70.4995
2107;尺;564;0.0059;70.5054
2108;那位;564;0.0059;70.5113
2109;揭示;564;0.0059;70.5172
2110;极其;563;0.0059;70.5231
2111;大队;563;0.0059;70.529
2112;到达;563;0.0059;70.5349
2113;服从;563;0.0059;70.5408
2114;规范;562;0.0059;70.5467
2115;官;562;0.0059;70.5644
2116;有可能;562;0.0059;70.5703
2117;同志们;562;0.0059;70.5585
2118;隔;562;0.0059;70.5526
2119;抽;561;0.0059;70.5762
2120;命;561;0.0059;70.5821
2121;投入;560;0.0059;70.5939
2122;企图;560;0.0059;70.5998
2123;大声;560;0.0059;70.6057
2124;碗;560;0.0059;70.588
2125;不能不;559;0.0058;70.6115
2126;解;558;0.0058;70.6347
2127;鸟;558;0.0058;70.6173
2128;公开;558;0.0058;70.6231
2129;不想;558;0.0058;70.6289
2130;甲;557;0.0058;70.6579
2131;丝;557;0.0058;70.6753
2132;红军;557;0.0058;70.6811
2133;民间;557;0.0058;70.6695
2134;那天;557;0.0058;70.6637
2135;洗;557;0.0058;70.6405
2136;何;557;0.0058;70.6521
2137;车间;557;0.0058;70.6463
2138;凡是;556;0.0058;70.6869
2139;腰;556;0.0058;70.6927
2140;喂;556;0.0058;70.6985
2141;感染;556;0.0058;70.7043
2142;体育;556;0.0058;70.7101
2143;一下子;555;0.0058;70.7333
2144;完;555;0.0058;70.7159
2145;沿;555;0.0058;70.7449
2146;满意;555;0.0058;70.7391
2147;开放;555;0.0058;70.7217
2148;无数;555;0.0058;70.7275
2149;命运;554;0.0058;70.7507
2150;最终;554;0.0058;70.7565
2151;香港;554;0.0058;70.7623
2152;工;554;0.0058;70.7681
2153;位于;554;0.0058;70.7739
2154;激烈;553;0.0058;70.7797
2155;鸡;553;0.0058;70.7855
2156;敌;552;0.0058;70.8087
2157;小组;552;0.0058;70.8029
2158;做出;552;0.0058;70.7913
2159;实;552;0.0058;70.7971
2160;沉重;551;0.0058;70.8377
2161;无限;551;0.0058;70.8145
2162;跑到;551;0.0058;70.8203
2163;示;551;0.0058;70.8261
2164;测量;551;0.0058;70.8319
2165;智力;550;0.0058;70.8435
2166;通知;550;0.0058;70.8493
2167;提到;550;0.0058;70.8551
2168;颇;550;0.0058;70.8609
2169;怎么办;549;0.0057;70.8666
2170;外部;549;0.0057;70.8723
2171;怀疑;549;0.0057;70.878
2172;民;548;0.0057;70.8837
2173;贸易;548;0.0057;70.8894
2174;横;548;0.0057;70.8951
2175;才是;547;0.0057;70.9008
2176;头脑;547;0.0057;70.9065
2177;准;547;0.0057;70.9122
2178;情;546;0.0057;70.9236
2179;缺少;546;0.0057;70.9293
2180;外界;546;0.0057;70.9179
2181;测定;545;0.0057;70.9578
2182;博士;545;0.0057;70.9635
2183;哪些;545;0.0057;70.9521
2184;姓;545;0.0057;70.9464
2185;调;545;0.0057;70.9407
2186;婚姻;545;0.0057;70.935
2187;模式;544;0.0057;70.9692
2188;六十;543;0.0057;70.9863
2189;四人帮;543;0.0057;70.992
2190;制成;543;0.0057;70.9806
2191;小学;543;0.0057;70.9749
2192;手中;542;0.0057;70.9977
2193;保存;542;0.0057;71.0034
2194;印度;542;0.0057;71.0091
2195;练习;542;0.0057;71.0148
2196;纸;542;0.0057;71.0205
2197;一会;541;0.0057;71.0262
2198;动机;541;0.0057;71.0319
2199;理;540;0.0057;71.0376
2200;抢;539;0.0056;71.0432
2201;极为;539;0.0056;71.0488
2202;再也;538;0.0056;71.0544
2203;长江;538;0.0056;71.0712
2204;不怕;538;0.0056;71.0656
2205;全身;538;0.0056;71.06
2206;咬;536;0.0056;71.0768
2207;看作;536;0.0056;71.0824
2208;严肃;536;0.0056;71.088
2209;体积;536;0.0056;71.0936
2210;最多;536;0.0056;71.0992
2211;罢;535;0.0056;71.1048
2212;定律;535;0.0056;71.1272
2213;之所以;535;0.0056;71.1328
2214;粗;535;0.0056;71.1216
2215;鼻子;535;0.0056;71.116
2216;引导;535;0.0056;71.1104
2217;绿色;534;0.0056;71.144
2218;体内;534;0.0056;71.172
2219;办公室;534;0.0056;71.1776
2220;物资;534;0.0056;71.1664
2221;再说;534;0.0056;71.1608
2222;纪律;534;0.0056;71.1384
2223;不论;534;0.0056;71.1496
2224;非洲;534;0.0056;71.1552
2225;布;533;0.0056;71.1832
2226;鲜明;533;0.0056;71.1888
2227;为此;533;0.0056;71.1944
2228;壁;533;0.0056;71.2
2229;二氧化碳;533;0.0056;71.2056
2230;画家;532;0.0056;71.2112
2231;早期;532;0.0056;71.228
2232;异;532;0.0056;71.2336
2233;公元;532;0.0056;71.2392
2234;商品经济;532;0.0056;71.2224
2235;写出;532;0.0056;71.2168
2236;奴隶;531;0.0056;71.2448
2237;密度;531;0.0056;71.2504
2238;或是;531;0.0056;71.256
2239;间接;531;0.0056;71.2616
2240;上级;531;0.0056;71.2672
2241;的确;531;0.0056;71.2728
2242;爆发;531;0.0056;71.2784
2243;毫无;530;0.0055;71.2839
2244;中国人;529;0.0055;71.2949
2245;班长;529;0.0055;71.3004
2246;红色;529;0.0055;71.2894
2247;自已;528;0.0055;71.3059
2248;而已;528;0.0055;71.3114
2249;情节;527;0.0055;71.3169
2250;费;527;0.0055;71.3224
2251;热烈;527;0.0055;71.3279
2252;抑制;527;0.0055;71.3334
2253;犯;527;0.0055;71.3389
2254;端;526;0.0055;71.3444
2255;意大利;526;0.0055;71.3499
2256;现;526;0.0055;71.3554
2257;漂亮;526;0.0055;71.3609
2258;意味;526;0.0055;71.3664
2259;一句话;525;0.0055;71.3829
2260;脑;525;0.0055;71.3719
2261;叔叔;525;0.0055;71.3774
2262;治;524;0.0055;71.4214
2263;放下;524;0.0055;71.3939
2264;男人;524;0.0055;71.3994
2265;把握;524;0.0055;71.4049
2266;退;524;0.0055;71.4104
2267;得出;524;0.0055;71.4159
2268;校长;524;0.0055;71.3884
2269;小姐;523;0.0055;71.4434
2270;内心;523;0.0055;71.4489
2271;作战;523;0.0055;71.4379
2272;唉;523;0.0055;71.4324
2273;小伙子;523;0.0055;71.4269
2274;一套;522;0.0055;71.4544
2275;集;522;0.0055;71.4709
2276;愈;522;0.0055;71.4764
2277;苗;522;0.0055;71.4654
2278;族;522;0.0055;71.4599
2279;溶解;521;0.0055;71.4819
2280;仅仅;521;0.0055;71.4874
2281;发射;521;0.0055;71.4929
2282;说完;521;0.0055;71.4984
2283;反射;521;0.0055;71.5039
2284;描述;520;0.0054;71.5147
2285;波;520;0.0054;71.5201
2286;平时;520;0.0054;71.5255
2287;问道;520;0.0054;71.5093
2288;照片;519;0.0054;71.5417
2289;排列;519;0.0054;71.5363
2290;中学;519;0.0054;71.5309
2291;异常;518;0.0054;71.5471
2292;消费者;517;0.0054;71.5525
2293;三角形;517;0.0054;71.5579
2294;分散;517;0.0054;71.5633
2295;相比;516;0.0054;71.5687
2296;涉及;516;0.0054;71.5741
2297;阶级斗争;516;0.0054;71.5795
2298;复;516;0.0054;71.5849
2299;程序;516;0.0054;71.5903
2300;国务院;515;0.0054;71.6173
2301;拿出;515;0.0054;71.6119
2302;走去;515;0.0054;71.5957
2303;乐;515;0.0054;71.6065
2304;是的;515;0.0054;71.6227
2305;舞;515;0.0054;71.6011
2306;电阻;514;0.0054;71.6281
2307;整理;514;0.0054;71.6335
2308;分类;514;0.0054;71.6389
2309;故意;514;0.0054;71.6443
2310;仪器;514;0.0054;71.6497
2311;形状;514;0.0054;71.6551
2312;一番;514;0.0054;71.6605
2313;上午;513;0.0054;71.6659
2314;时刻;513;0.0054;71.6713
2315;不清;512;0.0054;71.6875
2316;角色;512;0.0054;71.6929
2317;操作;512;0.0054;71.6983
2318;滴;512;0.0054;71.6767
2319;绿;512;0.0054;71.6821
2320;蛋白质;512;0.0054;71.7037
2321;产业;511;0.0053;71.709
2322;保障;510;0.0053;71.7302
2323;刀;510;0.0053;71.7249
2324;穷;510;0.0053;71.7143
2325;拖;510;0.0053;71.7196
2326;鲁迅;510;0.0053;71.7355
2327;锻炼;509;0.0053;71.7408
2328;原有;509;0.0053;71.7461
2329;消除;509;0.0053;71.7514
2330;有限;509;0.0053;71.7567
2331;绘画;508;0.0053;71.7832
2332;从前;508;0.0053;71.762
2333;语音;508;0.0053;71.7779
2334;流动;508;0.0053;71.7885
2335;享受;508;0.0053;71.7673
2336;各方面;508;0.0053;71.7726
2337;前者;507;0.0053;71.7938
2338;运动员;507;0.0053;71.7991
2339;生气;507;0.0053;71.8044
2340;俄国;507;0.0053;71.8097
2341;恐怕;506;0.0053;71.815
2342;耳朵;506;0.0053;71.8203
2343;回头;506;0.0053;71.8256
2344;天下;506;0.0053;71.8309
2345;经理;505;0.0053;71.8362
2346;深深;505;0.0053;71.8415
2347;调动;505;0.0053;71.8468
2348;规划;504;0.0053;71.8574
2349;党委;504;0.0053;71.8627
2350;增大;504;0.0053;71.8521
2351;单纯;503;0.0053;71.868
2352;热量;503;0.0053;71.8733
2353;选;503;0.0053;71.8786
2354;乃;502;0.0053;71.8839
2355;面对;502;0.0053;71.8892
2356;承担;502;0.0053;71.8945
2357;打破;501;0.0052;71.8997
2358;其余;501;0.0052;71.9049
2359;气温;500;0.0052;71.9101
2360;亲;500;0.0052;71.9153
2361;供给;500;0.0052;71.9205
2362;读书;499;0.0052;71.9257
2363;繁殖;499;0.0052;71.9309
2364;产;498;0.0052;71.9517
2365;页;498;0.0052;71.9361
2366;联想;498;0.0052;71.9413
2367;样;498;0.0052;71.9465
2368;挑;497;0.0052;71.9569
2369;体验;496;0.0052;71.9621
2370;露出;496;0.0052;71.9673
2371;污染;496;0.0052;71.9725
2372;缺点;496;0.0052;71.9777
2373;品质;496;0.0052;71.9829
2374;河;496;0.0052;71.9881
2375;冰;495;0.0052;72.0141
2376;围;495;0.0052;72.0089
2377;床上;495;0.0052;72.0037
2378;常见;495;0.0052;71.9933
2379;平原;495;0.0052;72.0193
2380;遗传;495;0.0052;71.9985
2381;春天;494;0.0052;72.0245
2382;甚;494;0.0052;72.0297
2383;加快;493;0.0052;72.0505
2384;毕竟;493;0.0052;72.0453
2385;成长;493;0.0052;72.0349
2386;据说;493;0.0052;72.0401
2387;国王;493;0.0052;72.0557
2388;假如;492;0.0051;72.0608
2389;重复;492;0.0051;72.0659
2390;酸;492;0.0051;72.071
2391;不良;491;0.0051;72.0761
2392;放心;491;0.0051;72.1016
2393;大批;491;0.0051;72.1067
2394;艺术家;491;0.0051;72.0965
2395;保留;491;0.0051;72.0812
2396;态;491;0.0051;72.0914
2397;眼泪;491;0.0051;72.0863
2398;每次;490;0.0051;72.1118
2399;第四;490;0.0051;72.1169
2400;黑暗;490;0.0051;72.122
2401;流行;490;0.0051;72.1271
2402;义;489;0.0051;72.1577
2403;之类;489;0.0051;72.1373
2404;尚未;489;0.0051;72.1628
2405;近年来;489;0.0051;72.173
2406;常用;489;0.0051;72.1679
2407;水分;489;0.0051;72.1322
2408;似;489;0.0051;72.1526
2409;神秘;489;0.0051;72.1475
2410;亿;489;0.0051;72.1424
2411;剩下;488;0.0051;72.1781
2412;姐姐;488;0.0051;72.1832
2413;凭;488;0.0051;72.1883
2414;一生;487;0.0051;72.1934
2415;面貌;487;0.0051;72.1985
2416;统治阶级;487;0.0051;72.2036
2417;加速;487;0.0051;72.2087
2418;都会;486;0.0051;72.2342
2419;吓;486;0.0051;72.2138
2420;害;486;0.0051;72.2291
2421;推广;486;0.0051;72.2393
2422;房;486;0.0051;72.224
2423;不说;486;0.0051;72.2189
2424;人数;485;0.0051;72.2444
2425;吴;485;0.0051;72.2495
2426;搞好;485;0.0051;72.2546
2427;悄悄;485;0.0051;72.2597
2428;争;485;0.0051;72.2648
2429;传说;485;0.0051;72.2699
2430;节奏;485;0.0051;72.275
2431;障碍;484;0.0051;72.2954
2432;局部;484;0.0051;72.2903
2433;偶然;484;0.0051;72.3005
2434;拥有;484;0.0051;72.2852
2435;转身;484;0.0051;72.2801
2436;见过;483;0.0051;72.3056
2437;不易;483;0.0051;72.3107
2438;观;482;0.005;72.3157
2439;似地;482;0.005;72.3207
2440;一对;482;0.005;72.3257
2441;自然科学;482;0.005;72.3307
2442;呈现;481;0.005;72.3357
2443;作风;481;0.005;72.3407
2444;抗日;481;0.005;72.3457
2445;设立;481;0.005;72.3507
2446;总统;481;0.005;72.3557
2447;火车;480;0.005;72.3607
2448;客人;480;0.005;72.3657
2449;吸;479;0.005;72.3707
2450;尾巴;479;0.005;72.3757
2451;对比;479;0.005;72.3807
2452;闪;478;0.005;72.4057
2453;变动;478;0.005;72.4007
2454;子女;478;0.005;72.3957
2455;专;478;0.005;72.3857
2456;十三;478;0.005;72.3907
2457;整;477;0.005;72.4307
2458;美元;477;0.005;72.4107
2459;处在;477;0.005;72.4157
2460;威胁;477;0.005;72.4207
2461;大致;477;0.005;72.4257
2462;十七;476;0.005;72.4357
2463;建;476;0.005;72.4507
2464;精神文明;476;0.005;72.4457
2465;平行;476;0.005;72.4407
2466;天然;475;0.005;72.4557
2467;农产品;475;0.005;72.4607
2468;西北;474;0.005;72.4657
2469;构造;474;0.005;72.4707
2470;绕;474;0.005;72.4757
2471;广东;474;0.005;72.4807
2472;语法;473;0.0049;72.5101
2473;南方;473;0.0049;72.5052
2474;夏季;473;0.0049;72.5003
2475;然;473;0.0049;72.515
2476;善;473;0.0049;72.4954
2477;哦;473;0.0049;72.4856
2478;眼光;473;0.0049;72.4905
2479;拒绝;473;0.0049;72.5199
2480;所在;472;0.0049;72.5297
2481;引;472;0.0049;72.5346
2482;唐;472;0.0049;72.5248
2483;补;471;0.0049;72.5493
2484;超;471;0.0049;72.5542
2485;信仰;471;0.0049;72.5444
2486;加热;471;0.0049;72.5395
2487;送到;470;0.0049;72.5591
2488;也就是说;470;0.0049;72.564
2489;战;469;0.0049;72.5885
2490;现有;469;0.0049;72.5836
2491;基督教;469;0.0049;72.5689
2492;水中;469;0.0049;72.5983
2493;营;469;0.0049;72.5934
2494;算是;469;0.0049;72.5738
2495;气氛;469;0.0049;72.5787
2496;雪;468;0.0049;72.6032
2497;财富;468;0.0049;72.6081
2498;参与;468;0.0049;72.613
2499;心灵;467;0.0049;72.6179
2500;乘;467;0.0049;72.6228
2501;肌肉;467;0.0049;72.6277
2502;楼;467;0.0049;72.6326
2503;十六;467;0.0049;72.6375
2504;课;466;0.0049;72.6522
2505;学术;466;0.0049;72.6424
2506;访问;466;0.0049;72.6473
2507;嘴里;466;0.0049;72.6571
2508;遵守;465;0.0049;72.662
2509;早晨;465;0.0049;72.6669
2510;站起来;465;0.0049;72.6718
2511;提倡;465;0.0049;72.6767
2512;大门;465;0.0049;72.6816
2513;上下;465;0.0049;72.6865
2514;富有;465;0.0049;72.6914
2515;愿望;464;0.0049;72.7012
2516;可怜;464;0.0049;72.6963
2517;文件;463;0.0048;72.7204
2518;十几;463;0.0048;72.73
2519;诗人;463;0.0048;72.7252
2520;适合;463;0.0048;72.706
2521;梦;463;0.0048;72.7108
2522;照顾;463;0.0048;72.7156
2523;担心;462;0.0048;72.7348
2524;木;462;0.0048;72.7396
2525;走上;462;0.0048;72.7444
2526;球;462;0.0048;72.7492
2527;夹;462;0.0048;72.754
2528;以至;462;0.0048;72.7588
2529;绝不;462;0.0048;72.7636
2530;结;461;0.0048;72.7684
2531;昆虫;460;0.0048;72.7828
2532;剂;460;0.0048;72.7732
2533;龙;460;0.0048;72.778
2534;比重;459;0.0048;72.8212
2535;株;459;0.0048;72.7876
2536;电压;459;0.0048;72.7924
2537;累;459;0.0048;72.7972
2538;衣;459;0.0048;72.802
2539;孔;459;0.0048;72.8068
2540;工艺;459;0.0048;72.8116
2541;不停;459;0.0048;72.8164
2542;突破;458;0.0048;72.85
2543;采;458;0.0048;72.8596
2544;转动;458;0.0048;72.8548
2545;节约;458;0.0048;72.8452
2546;感受;458;0.0048;72.826
2547;尊重;458;0.0048;72.8308
2548;负担;458;0.0048;72.8644
2549;循环;458;0.0048;72.8404
2550;公路;458;0.0048;72.8356
2551;探讨;457;0.0048;72.9076
2552;正好;457;0.0048;72.9028
2553;依然;457;0.0048;72.898
2554;固体;457;0.0048;72.8932
2555;职能;457;0.0048;72.9124
2556;屋子;457;0.0048;72.8884
2557;谈到;457;0.0048;72.8836
2558;伤;457;0.0048;72.8788
2559;化合物;457;0.0048;72.8692
2560;汉语;457;0.0048;72.874
2561;社会主义建设;456;0.0048;72.922
2562;地理;456;0.0048;72.9364
2563;少年;456;0.0048;72.9316
2564;临时;456;0.0048;72.9172
2565;不对;456;0.0048;72.9268
2566;哼;455;0.0048;72.9652
2567;铜;455;0.0048;72.9412
2568;同情;455;0.0048;72.946
2569;劝;455;0.0048;72.9508
2570;坐下;455;0.0048;72.9556
2571;定义;455;0.0048;72.9604
2572;题材;454;0.0048;72.9892
2573;青少年;454;0.0048;72.9844
2574;科研;454;0.0048;72.994
2575;连忙;454;0.0048;72.9748
2576;愉快;454;0.0048;72.97
2577;拿起;454;0.0048;72.9796
2578;乡;453;0.0047;72.9987
2579;变革;453;0.0047;73.0034
2580;业;453;0.0047;73.0081
2581;奋斗;453;0.0047;73.0128
2582;肚子;452;0.0047;73.0175
2583;棉花;452;0.0047;73.0363
2584;钻;452;0.0047;73.0457
2585;参观;452;0.0047;73.0316
2586;哪个;452;0.0047;73.0269
2587;依;452;0.0047;73.0222
2588;网;452;0.0047;73.041
2589;团体;451;0.0047;73.0598
2590;活跃;451;0.0047;73.0645
2591;摆脱;451;0.0047;73.0551
2592;感动;451;0.0047;73.0504
2593;伸出;450;0.0047;73.0692
2594;白天;450;0.0047;73.0739
2595;氧;450;0.0047;73.0786
